qid,verdict,confidence,note,question,gold_ids,gold_names
116370,N-CONSOLID,high,"288036 = Văn bản hợp nhất 03/VBHN-BGDĐT 2017, gộp TT 28/2009 + TT 15/2017. CÙNG Điều 6, CÙNG 19 tiết -> trùng lặp nội dung trong kho, KHÔNG phải xung đột phiên bản",Giáo viên trường trung học cơ sở dạy bao nhiêu tiết trong một tuần?,1178,Thong-tu-28-2009-TT-BGDDT-quy-dinh-che-do-lam-viec-giao-vien
53428,OK,high,Luật dùng 'Giấy chứng nhận kết hôn' (khoản 7 Điều 4); câu hỏi dùng từ dân gian -> R-TERM thuần,Giấy đăng ký kết hôn là gì?,157168,Luat-Ho-tich-2014-259727
22056,OK,high,"Khoản 3 Điều 8 điểm e: Cục Chính sách TCCT chủ trì kiểm tra. Điểm đ/g là chỉ đạo/CSDL, khác động từ","Việc kiểm tra công tác lập bản đồ tìm kiếm, quy tập hài cốt liệt sĩ thuộc trách nhiệm của cơ quan nhà nước nào?",218870,Thong-tu-80-2022-TT-BQP-to-chuc-tim-kiem-quy-tap-hai-cot-lie
106112,OK,high,Điều 54 khoản 2: chuyển nhượng thì thời hạn là thời gian còn lại. 'Cát sỏi' chỉ là nhiễu bối cảnh,Doanh nghiệp nhượng quyền khai thác cát sỏi lòng sông cho doanh nghiệp khác thì thời hạn khai thác có được tính lại từ đầu hay không?,117172,Luat-khoang-san-2010-115263
105936,OK,high,Điều 25 trùng nguyên văn tiêu đề câu hỏi,Điều kiện của tổ chức được đứng tên công bố tiêu chuẩn áp dụng hoặc đăng ký lưu hành trang thiết bị y tế,222206,Nghi-dinh-98-2021-ND-CP-quan-ly-trang-thiet-bi-y-te-493940
117476,OK,high,"Mục 2 'Quy trình vệ sinh buồng phẫu thuật giữa hai ca phẫu thuật', 6 bước",Quy trình vệ sinh buồng phẫu thuật giữa hai ca phẫu thuật thực hiện các bước ra sao?,292700,Quyet-dinh-4290-QD-BYT-ve-sinh-moi-truong-be-mat-khu-phau-th
139594,OK,high,"Điều 17 khoản 1, 3 trường hợp. Điều 38/42 là chữ ký số CHUYÊN DÙNG, không phải công cộng",Giấy phép cung cấp dịch vụ chứng thực chữ ký số công cộng bị tạm đình chỉ trong trường hợp nào?,129113,Nghi-dinh-130-2018-ND-CP-huong-dan-Luat-Giao-dich-dien-tu-ve
142282,OK,high,Điều 157. 160120 (Luật TTHC) Điều 358 gần trùng từng chữ nhưng câu hỏi ghi rõ 'tố tụng dân sự',"Nghĩa vụ chịu chi phí xem xét, thẩm định tại chỗ tố tụng dân sự? ",46918,Bo-luat-to-tung-dan-su-2015-296861
37626,N-WRONG,high,"Gold thứ hai 72265 là LUẬT CƯ TRÚ 2020, không liên quan; Ctrl-F 'khai hải quan' = 0 kết quả. 194646 đúng (Mẫu số 03). Recall câu này trần 0,5",Mẫu Chứng chỉ nghiệp vụ khai hải quan mới nhất ra sao?,194646|72265,Thong-tu-79-2022-TT-BTC-sua-doi-van-ban-quy-pham-phap-luat-5 ‖ Luat-68-2020-QH14-cu-tru-435315
5576,N-CONSOLID,high,"15491 = Văn bản hợp nhất 14/VBHN-VPQH 2019, gộp Luật Kế toán 2015. CÙNG Điều 62, CÙNG 15 ngày -> trùng lặp nội dung",Thời hạn cấp Giấy chứng nhận đủ điều kiện kinh doanh dịch vụ kế toán đối với Công ty hợp danh là bao lâu?,130251,Luat-ke-toan-2015-298369
105248,OK,high,"Điều 7 khoản 1. 281013 có 'cỡ chữ ít nhất là 12' nhưng cho hợp đồng bán hàng đa cấp, khác đối tượng",Ngôn ngữ sử dụng trong hợp đồng theo mẫu được quy định như thế nào?,203090,Nghi-dinh-99-2011-ND-CP-huong-dan-Luat-Bao-ve-quyen-loi-nguo
4792,N-ALTOK,medium,"190257 (TT 59/2015) nêu lại quy tắc 30% kèm ví dụ, cũng trả lời được. LƯU Ý P2: doc 23402 name rỗng + khối quốc hiệu lặp 2 lần (lỗi parse)",Lao động nữ được nghỉ dưỡng sức và phục hồi sau khi sẩy thai cần đảm bảo quy định như thế nào?,23402,?
135934,OK,high,"Điều 10 khoản 2, 10 điểm a-k",Nội dung của giấy phép nhân viên hàng không phải có những nội dung nào?,166590,Thong-tu-10-2018-TT-BGTVT-nhan-vien-hang-khong-huan-luyen-ng
75378,OK,medium,Điều 6 khoản 2; ĐHQG có trong phạm vi Điều 1 khoản 2. 144362 (TT 48/2020) liệt kê cùng danh sách nhưng theo nghĩa được sử dụng cơ sở trên địa bàn,Cơ sở vật chất để phục vụ cho hoạt động thể thao của đại học quốc gia gồm những gì?,93621,Nghi-dinh-11-2015-ND-CP-giao-duc-the-chat-hoat-dong-the-thao
64620,OK,high,Điều 3 khoản 3 + Điều 4 nguyên tắc + Điều 11 các trường hợp,"Thông tin khách hàng liên quan đến giao dịch nộp tiền, chuyển tiền có bị cung cấp hay không?",232521,Nghi-dinh-117-2018-ND-CP-giu-bi-mat-cung-cap-thong-tin-khach
72846,N-VERSION,high,"232314 = NĐ 64/2022 khoản 10 SỬA ĐỔI khoản 3 Điều 20, Mẫu số 10 chuyển sang Phụ lục NĐ mới. Câu hỏi có ""hiện nay"" -> bản sửa ĐÚNG HƠN gold. Ca duy nhất thuộc loại này trong 30 câu",Giấy chứng nhận xóa đăng ký quyền sở hữu tàu bay hiện nay được Cục hàng không Việt Nam cấp theo mẫu nào?,72062,Nghi-dinh-68-2015-ND-CP-quy-dinh-dang-ky-quoc-tich-va-dang-k
45034,OK,high,Điều 8 khoản 3a: 12 tháng. Doc có marker ĐÍNH KÈM nhưng thân vẫn trả lời đủ -> ATTACH không đồng nghĩa N-TRUNC,Giấy khám sức khỏe của người lao động có thời hạn sử dụng trong bao lâu?,196659,Thong-tu-14-2013-TT-BYT-huong-dan-kham-suc-khoe-185665
